date	max_degree	min_degree
2017-01-01	12	5
2017-01-02	13	2
2017-01-03	12	5
2017-01-04	12	7
2017-01-05	14	5
2017-01-06	11	6
2017-01-07	11	6
2017-01-08	12	7
2017-01-09	10	7
2017-01-10	8	3
2017-01-11	8	2
2017-01-12	11	1
2017-01-13	12	1
2017-01-14	10	4
2017-01-15	10	4
2017-01-16	8	5
2017-01-17	9	4
2017-01-18	10	4
2017-01-19	9	3
2017-01-20	10	3
2017-01-21	13	2
2017-01-22	12	4
2017-01-23	12	1
2017-01-24	12	2
2017-01-25	13	4
2017-01-26	12	4
2017-01-27	12	4
2017-01-28	13	6
2017-01-29	13	3
2017-01-30	12	7
2017-01-31	11	6
2017-02-01	9	5
2017-02-02	10	4
2017-02-03	12	4
2017-02-04	12	6
2017-02-05	13	6
2017-02-06	10	6
2017-02-07	8	4
2017-02-08	12	3
2017-02-09	10	5
2017-02-10	10	5
2017-02-11	11	4
2017-02-12	12	5
2017-02-13	12	6
2017-02-14	14	4
2017-02-15	15	6
2017-02-16	14	7
2017-02-17	18	5
2017-02-18	17	6
2017-02-19	19	4
2017-02-20	17	8
2017-02-21	11	6
2017-02-22	12	5
2017-02-23	10	4
2017-02-24	12	5
2017-02-25	13	4
2017-02-26	12	3
2017-02-27	13	4
2017-02-28	15	3
2017-03-01	16	6
2017-03-02	14	7
2017-03-03	13	7
2017-03-06	13	7
2017-03-07	14	6
2017-03-08	15	6
2017-03-09	14	7
2017-03-10	14	8
2017-03-11	16	9
2017-03-12	13	8
2017-03-13	13	6
2017-03-14	12	7
2017-03-15	13	5
2017-03-16	15	6
2017-03-17	15	7
2017-03-18	15	8
2017-03-19	14	7
2017-03-20	20	10
2017-03-21	15	10
2017-03-22	15	11
2017-03-23	16	11
2017-03-24	15	8
2017-03-25	15	6
2017-03-26	19	6
2017-03-27	21	8
2017-03-28	21	11
2017-03-29	21	11
2017-03-30	21	12
2017-03-31	23	11
2017-04-01	21	13
2017-04-02	18	12
2017-04-03	18	12
2017-04-04	22	12
2017-04-05	20	14
2017-04-06	23	13
2017-04-07	23	15
2017-04-08	24	15
2017-04-09	23	14
2017-04-10	19	14
2017-04-11	19	13
2017-04-12	23	11
2017-04-13	26	11
2017-04-14	27	15
2017-04-15	26	16
2017-04-16	20	11
2017-04-17	26	12
2017-04-18	28	12
2017-04-19	29	15
2017-04-20	21	13
2017-04-21	23	12
2017-04-22	25	11
2017-04-23	27	14
2017-04-24	24	17
2017-04-25	23	15
2017-04-26	20	13
2017-04-27	19	12
2017-04-28	24	12
2017-04-29	26	15
2017-04-30	28	15
2017-05-01	30	18
2017-05-02	26	16
2017-05-03	23	15
2017-05-04	27	14
2017-05-05	20	13
2017-05-06	22	13
2017-05-07	23	13
2017-05-08	27	16
2017-05-09	26	17
2017-05-10	27	18
2017-05-11	27	17
2017-05-12	31	13
2017-05-13	32	18
2017-05-14	30	17
2017-05-15	29	17
2017-05-16	30	15
2017-05-17	30	18
2017-05-18	27	15
2017-05-19	31	20
2017-05-20	26	20
2017-05-21	26	20
2017-05-22	25	17
2017-05-23	26	17
2017-05-24	27	16
2017-05-25	29	17
2017-05-26	31	18
2017-05-27	33	22
2017-05-28	32	21
2017-05-29	29	20
2017-05-30	31	20
2017-05-31	30	21
2017-06-01	30	20
2017-06-02	30	22
2017-06-03	28	20
2017-06-04	27	18
2017-06-05	30	19
2017-06-06	30	19
2017-06-07	30	20
2017-06-08	27	20
2017-06-09	28	21
2017-06-10	28	19
2017-06-11	30	21
2017-06-12	30	21
2017-06-13	26	20
2017-06-14	20	17
2017-06-15	23	17
2017-06-16	27	18
2017-06-17	28	20
2017-06-18	29	20
2017-06-19	30	21
2017-06-20	30	21
2017-06-21	30	22
2017-06-22	27	22
2017-06-23	30	23
2017-06-24	30	21
2017-06-25	30	19
2017-06-26	30	19
2017-06-27	30	20
2017-06-28	28	20
2017-06-29	32	21
2017-06-30	30	20
2017-07-01	33	23
2017-07-02	35	23
2017-07-03	31	23
2017-07-04	31	22
2017-07-05	26	22
2017-07-06	30	23
2017-07-07	33	23
2017-07-08	32	23
2017-07-09	35	21
2017-07-10	34	24
2017-07-11	36	25
2017-07-12	33	23
2017-07-13	33	22
2017-07-14	31	22
2017-07-15	32	23
2017-07-16	32	22
2017-07-17	31	23
2017-07-18	30	23
2017-07-19	30	23
2017-07-20	31	23
2017-07-21	31	23
2017-07-22	30	23
2017-07-23	32	23
2017-07-24	31	24
2017-07-25	33	24
2017-07-26	32	24
2017-07-27	32	24
2017-07-28	32	24
2017-07-29	31	22
2017-07-30	32	24
2017-07-31	31	24
2017-06-30	30	20
